,Start,Finish,Steps (count),Day of week,hour,date
179,2022-01-08 11:00:00,08-Jan-2022 12:00,1858,Saturday,11,2022-01-08
180,2022-01-08 12:00:00,08-Jan-2022 13:00,274,Saturday,12,2022-01-08
181,2022-01-08 13:00:00,08-Jan-2022 14:00,220,Saturday,13,2022-01-08
182,2022-01-08 14:00:00,08-Jan-2022 15:00,536,Saturday,14,2022-01-08
183,2022-01-08 15:00:00,08-Jan-2022 16:00,111,Saturday,15,2022-01-08
184,2022-01-08 16:00:00,08-Jan-2022 17:00,113,Saturday,16,2022-01-08
185,2022-01-08 17:00:00,08-Jan-2022 18:00,184,Saturday,17,2022-01-08
186,2022-01-08 18:00:00,08-Jan-2022 19:00,143,Saturday,18,2022-01-08
187,2022-01-08 19:00:00,08-Jan-2022 20:00,150,Saturday,19,2022-01-08
188,2022-01-08 20:00:00,08-Jan-2022 21:00,110,Saturday,20,2022-01-08
189,2022-01-08 21:00:00,08-Jan-2022 22:00,113,Saturday,21,2022-01-08
190,2022-01-08 22:00:00,08-Jan-2022 23:00,51,Saturday,22,2022-01-08
191,2022-01-08 23:00:00,09-Jan-2022 00:00,0,Saturday,23,2022-01-08
192,2022-01-09 00:00:00,09-Jan-2022 01:00,0,Sunday,0,2022-01-09
193,2022-01-09 01:00:00,09-Jan-2022 02:00,0,Sunday,1,2022-01-09
194,2022-01-09 02:00:00,09-Jan-2022 03:00,0,Sunday,2,2022-01-09
195,2022-01-09 03:00:00,09-Jan-2022 04:00,0,Sunday,3,2022-01-09
196,2022-01-09 04:00:00,09-Jan-2022 05:00,0,Sunday,4,2022-01-09
197,2022-01-09 05:00:00,09-Jan-2022 06:00,0,Sunday,5,2022-01-09
198,2022-01-09 06:00:00,09-Jan-2022 07:00,0,Sunday,6,2022-01-09
199,2022-01-09 07:00:00,09-Jan-2022 08:00,0,Sunday,7,2022-01-09
200,2022-01-09 08:00:00,09-Jan-2022 09:00,0,Sunday,8,2022-01-09
201,2022-01-09 09:00:00,09-Jan-2022 10:00,21,Sunday,9,2022-01-09
202,2022-01-09 10:00:00,09-Jan-2022 11:00,0,Sunday,10,2022-01-09
203,2022-01-09 11:00:00,09-Jan-2022 12:00,79,Sunday,11,2022-01-09
204,2022-01-09 12:00:00,09-Jan-2022 13:00,925,Sunday,12,2022-01-09
205,2022-01-09 13:00:00,09-Jan-2022 14:00,1393,Sunday,13,2022-01-09
206,2022-01-09 14:00:00,09-Jan-2022 15:00,156,Sunday,14,2022-01-09
207,2022-01-09 15:00:00,09-Jan-2022 16:00,0,Sunday,15,2022-01-09
208,2022-01-09 16:00:00,09-Jan-2022 17:00,124,Sunday,16,2022-01-09
209,2022-01-09 17:00:00,09-Jan-2022 18:00,595,Sunday,17,2022-01-09
210,2022-01-09 18:00:00,09-Jan-2022 19:00,245,Sunday,18,2022-01-09
211,2022-01-09 19:00:00,09-Jan-2022 20:00,188,Sunday,19,2022-01-09
212,2022-01-09 20:00:00,09-Jan-2022 21:00,60,Sunday,20,2022-01-09
213,2022-01-09 21:00:00,09-Jan-2022 22:00,91,Sunday,21,2022-01-09
214,2022-01-09 22:00:00,09-Jan-2022 23:00,87,Sunday,22,2022-01-09
215,2022-01-09 23:00:00,10-Jan-2022 00:00,0,Sunday,23,2022-01-09
216,2022-01-10 00:00:00,10-Jan-2022 01:00,0,Monday,0,2022-01-10
217,2022-01-10 01:00:00,10-Jan-2022 02:00,0,Monday,1,2022-01-10
218,2022-01-10 02:00:00,10-Jan-2022 03:00,0,Monday,2,2022-01-10
219,2022-01-10 03:00:00,10-Jan-2022 04:00,0,Monday,3,2022-01-10
220,2022-01-10 04:00:00,10-Jan-2022 05:00,0,Monday,4,2022-01-10
221,2022-01-10 05:00:00,10-Jan-2022 06:00,0,Monday,5,2022-01-10
222,2022-01-10 06:00:00,10-Jan-2022 07:00,293,Monday,6,2022-01-10
223,2022-01-10 07:00:00,10-Jan-2022 08:00,1126,Monday,7,2022-01-10
224,2022-01-10 08:00:00,10-Jan-2022 09:00,552,Monday,8,2022-01-10
225,2022-01-10 09:00:00,10-Jan-2022 10:00,2190,Monday,9,2022-01-10
226,2022-01-10 10:00:00,10-Jan-2022 11:00,0,Monday,10,2022-01-10
227,2022-01-10 11:00:00,10-Jan-2022 12:00,906,Monday,11,2022-01-10
228,2022-01-10 12:00:00,10-Jan-2022 13:00,0,Monday,12,2022-01-10
229,2022-01-10 13:00:00,10-Jan-2022 14:00,303,Monday,13,2022-01-10
230,2022-01-10 14:00:00,10-Jan-2022 15:00,96,Monday,14,2022-01-10
231,2022-01-10 15:00:00,10-Jan-2022 16:00,444,Monday,15,2022-01-10
232,2022-01-10 16:00:00,10-Jan-2022 17:00,283,Monday,16,2022-01-10
233,2022-01-10 17:00:00,10-Jan-2022 18:00,736,Monday,17,2022-01-10
234,2022-01-10 18:00:00,10-Jan-2022 19:00,127,Monday,18,2022-01-10
235,2022-01-10 19:00:00,10-Jan-2022 20:00,332,Monday,19,2022-01-10
236,2022-01-10 20:00:00,10-Jan-2022 21:00,0,Monday,20,2022-01-10
237,2022-01-10 21:00:00,10-Jan-2022 22:00,0,Monday,21,2022-01-10
238,2022-01-10 22:00:00,10-Jan-2022 23:00,45,Monday,22,2022-01-10
239,2022-01-10 23:00:00,11-Jan-2022 00:00,0,Monday,23,2022-01-10
240,2022-01-11 00:00:00,11-Jan-2022 01:00,0,Tuesday,0,2022-01-11
241,2022-01-11 01:00:00,11-Jan-2022 02:00,0,Tuesday,1,2022-01-11
242,2022-01-11 02:00:00,11-Jan-2022 03:00,0,Tuesday,2,2022-01-11
243,2022-01-11 03:00:00,11-Jan-2022 04:00,0,Tuesday,3,2022-01-11
244,2022-01-11 04:00:00,11-Jan-2022 05:00,0,Tuesday,4,2022-01-11
245,2022-01-11 05:00:00,11-Jan-2022 06:00,0,Tuesday,5,2022-01-11
246,2022-01-11 06:00:00,11-Jan-2022 07:00,0,Tuesday,6,2022-01-11
247,2022-01-11 07:00:00,11-Jan-2022 08:00,0,Tuesday,7,2022-01-11
248,2022-01-11 08:00:00,11-Jan-2022 09:00,70,Tuesday,8,2022-01-11
249,2022-01-11 09:00:00,11-Jan-2022 10:00,138,Tuesday,9,2022-01-11
250,2022-01-11 10:00:00,11-Jan-2022 11:00,376,Tuesday,10,2022-01-11
251,2022-01-11 11:00:00,11-Jan-2022 12:00,850,Tuesday,11,2022-01-11
252,2022-01-11 12:00:00,11-Jan-2022 13:00,0,Tuesday,12,2022-01-11
253,2022-01-11 13:00:00,11-Jan-2022 14:00,208,Tuesday,13,2022-01-11
254,2022-01-11 14:00:00,11-Jan-2022 15:00,207,Tuesday,14,2022-01-11
255,2022-01-11 15:00:00,11-Jan-2022 16:00,189,Tuesday,15,2022-01-11
256,2022-01-11 16:00:00,11-Jan-2022 17:00,277,Tuesday,16,2022-01-11
257,2022-01-11 17:00:00,11-Jan-2022 18:00,593,Tuesday,17,2022-01-11
258,2022-01-11 18:00:00,11-Jan-2022 19:00,71,Tuesday,18,2022-01-11
259,2022-01-11 19:00:00,11-Jan-2022 20:00,147,Tuesday,19,2022-01-11
260,2022-01-11 20:00:00,11-Jan-2022 21:00,65,Tuesday,20,2022-01-11
261,2022-01-11 21:00:00,11-Jan-2022 22:00,156,Tuesday,21,2022-01-11
262,2022-01-11 22:00:00,11-Jan-2022 23:00,25,Tuesday,22,2022-01-11
263,2022-01-11 23:00:00,12-Jan-2022 00:00,39,Tuesday,23,2022-01-11
264,2022-01-12 00:00:00,12-Jan-2022 01:00,0,Wednesday,0,2022-01-12
265,2022-01-12 01:00:00,12-Jan-2022 02:00,0,Wednesday,1,2022-01-12
266,2022-01-12 02:00:00,12-Jan-2022 03:00,0,Wednesday,2,2022-01-12
267,2022-01-12 03:00:00,12-Jan-2022 04:00,0,Wednesday,3,2022-01-12
268,2022-01-12 04:00:00,12-Jan-2022 05:00,0,Wednesday,4,2022-01-12
269,2022-01-12 05:00:00,12-Jan-2022 06:00,0,Wednesday,5,2022-01-12
270,2022-01-12 06:00:00,12-Jan-2022 07:00,374,Wednesday,6,2022-01-12
271,2022-01-12 07:00:00,12-Jan-2022 08:00,1228,Wednesday,7,2022-01-12
272,2022-01-12 08:00:00,12-Jan-2022 09:00,247,Wednesday,8,2022-01-12
273,2022-01-12 09:00:00,12-Jan-2022 10:00,524,Wednesday,9,2022-01-12
274,2022-01-12 10:00:00,12-Jan-2022 11:00,492,Wednesday,10,2022-01-12
275,2022-01-12 11:00:00,12-Jan-2022 12:00,549,Wednesday,11,2022-01-12
276,2022-01-12 12:00:00,12-Jan-2022 13:00,534,Wednesday,12,2022-01-12
277,2022-01-12 13:00:00,12-Jan-2022 14:00,235,Wednesday,13,2022-01-12
278,2022-01-12 14:00:00,12-Jan-2022 15:00,1589,Wednesday,14,2022-01-12
