Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066160,2022,08,17,0.0,,N
IDCJAC0009,066160,2022,08,18,0.0,,N
IDCJAC0009,066160,2022,08,19,0.0,,N
IDCJAC0009,066160,2022,08,20,0.0,,N
IDCJAC0009,066160,2022,08,21,0.8,1,N
IDCJAC0009,066160,2022,08,22,0.0,,N
IDCJAC0009,066160,2022,08,23,0.0,,N
IDCJAC0009,066160,2022,08,24,19.0,1,N
IDCJAC0009,066160,2022,08,25,0.0,,N
IDCJAC0009,066160,2022,08,26,8.0,1,N
IDCJAC0009,066160,2022,08,27,17.2,1,N
IDCJAC0009,066160,2022,08,28,2.4,1,N
IDCJAC0009,066160,2022,08,29,0.0,,N
IDCJAC0009,066160,2022,08,30,0.8,1,N
IDCJAC0009,066160,2022,08,31,0.0,,N
IDCJAC0009,066160,2022,09,01,7.6,1,N
IDCJAC0009,066160,2022,09,02,0.2,1,N
IDCJAC0009,066160,2022,09,03,9.0,1,N
IDCJAC0009,066160,2022,09,04,3.6,1,N
IDCJAC0009,066160,2022,09,05,3.0,1,N
IDCJAC0009,066160,2022,09,06,0.0,,N
IDCJAC0009,066160,2022,09,07,2.0,1,N
IDCJAC0009,066160,2022,09,08,0.0,,N
IDCJAC0009,066160,2022,09,09,3.3,1,N
IDCJAC0009,066160,2022,09,10,3.1,1,N
IDCJAC0009,066160,2022,09,11,0.0,,N
IDCJAC0009,066160,2022,09,12,0.0,,N
IDCJAC0009,066160,2022,09,13,0.0,,N
IDCJAC0009,066160,2022,09,14,1.4,1,N
IDCJAC0009,066160,2022,09,15,0.0,,N
IDCJAC0009,066160,2022,09,16,19.4,1,N
IDCJAC0009,066160,2022,09,17,0.0,,N
IDCJAC0009,066160,2022,09,18,0.0,,N
IDCJAC0009,066160,2022,09,19,0.0,,N
IDCJAC0009,066160,2022,09,20,0.0,,N
IDCJAC0009,066160,2022,09,21,0.0,,N
IDCJAC0009,066160,2022,09,22,13.0,1,N
IDCJAC0009,066160,2022,09,23,7.1,1,N
IDCJAC0009,066160,2022,09,24,3.4,1,N
IDCJAC0009,066160,2022,09,25,0.0,,N
IDCJAC0009,066160,2022,09,26,0.8,1,N
IDCJAC0009,066160,2022,09,27,0.1,1,N
